model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29704,1024,30728,9.461028575897217,0.2156379222869873,9.24539065361023,3247.849824519315,137749.42591251488,110.75789421619935,2025-07-30T14:58:11.508641,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29698,1024,30722,9.46127963066101,0.241865873336792,9.219413757324219,3247.1294792344715,122787.06206165059,111.06996897568452,2025-07-30T14:58:21.280984,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29692,1024,30716,9.419942617416382,0.20259380340576172,9.21734881401062,3260.741731399688,146559.27032739428,111.0948517477707,2025-07-30T14:58:31.030478,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29696,883,30579,8.2239351272583,0.22018909454345703,8.003746032714844,3718.292949399084,134865.8981570912,110.32334064459181,2025-07-30T14:58:39.561569,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29705,1024,30729,9.466310739517212,0.23931622505187988,9.226994514465332,3246.1431750514457,124124.47168410933,110.9787155931063,2025-07-30T14:58:49.342089,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29704,844,30548,7.842472553253174,0.2145378589630127,7.627934694290161,3895.2001161072903,138455.7492256931,110.64593940896879,2025-07-30T14:58:57.521299,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29695,963,30658,8.837778329849243,0.1905980110168457,8.647180318832397,3468.971369926063,155799.10745960227,111.36578219639011,2025-07-30T14:59:06.651844,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29708,1024,30732,9.521416425704956,0.2609679698944092,9.260448455810547,3227.671034010534,113837.7250358357,110.57779813649117,2025-07-30T14:59:16.486300,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29694,1024,30718,9.44460129737854,0.22689509391784668,9.217706203460693,3252.440101259345,130871.05361013884,111.09054437160839,2025-07-30T14:59:26.225988,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29696,1024,30720,9.44221830368042,0.22304344177246094,9.219174861907959,3253.4727552344193,133139.98279444838,111.07284711899668,2025-07-30T14:59:35.970919,True,,True
