model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,first_token_time,generation_time,total_tokens_per_second,response_tokens_per_second,preprocess_speed,generation_speed,latency,timestamp,success,error_message,streaming_used
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21846,553,22399,31.983044147491455,21.47105360031128,21.47105360031128,10.511990547180176,700.3398393444307,17.29041167719408,1017.462878472032,52.606592207062185,21.47105360031128,2025-07-29T10:03:00.554444,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21843,487,22330,10.637530326843262,0.1466968059539795,0.1466968059539795,10.490833520889282,2099.171453702124,45.781303087905705,148898.94744437997,46.42147823910165,0.1466968059539795,2025-07-29T10:03:11.487999,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21841,594,22435,10.552048206329346,0.13459324836730957,0.13459324836730957,10.417454957962036,2126.127512054295,56.29238877469362,162274.1130401665,57.01968498035187,0.13459324836730957,2025-07-29T10:03:22.330834,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21846,587,22433,10.314825057983398,0.13662314414978027,0.13662314414978027,10.178201913833618,2174.830874386712,56.90838154794275,159899.70173757806,57.67226912665034,0.13662314414978027,2025-07-29T10:03:32.934789,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21844,595,22439,10.52414321899414,0.16282224655151367,0.16282224655151367,10.361320972442627,2132.145062364957,56.53666884028474,134158.57146455106,57.42511032931855,0.16282224655151367,2025-07-29T10:03:43.776461,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21850,385,22235,7.686486005783081,0.17311716079711914,0.17311716079711914,7.513368844985962,2892.739280767708,50.087907492492356,126215.10137638306,51.24199383036137,0.17311716079711914,2025-07-29T10:03:51.798209,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21842,458,22300,7.998820543289185,0.1639726161956787,0.1639726161956787,7.834847927093506,2787.9110275463245,57.25844173166891,133205.1686845966,58.45678234751703,0.1639726161956787,2025-07-29T10:04:00.087226,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21856,732,22588,10.5215585231781,0.259871244430542,0.259871244430542,10.261687278747559,2146.830239098186,69.57144213829787,84103.18751462184,71.33329832765483,0.259871244430542,2025-07-29T10:04:10.902258,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21839,628,22467,10.549356698989868,0.1757512092590332,0.1757512092590332,10.373605489730835,2129.7033213552522,59.52969625722608,124260.88043475311,60.53825746715328,0.1757512092590332,2025-07-29T10:04:21.752173,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,21848,710,22558,10.531242370605469,0.1692795753479004,0.1692795753479004,10.361962795257568,2142.0074865016218,67.41844646760136,129064.5959803383,68.51983683293581,0.1692795753479004,2025-07-29T10:04:32.581213,True,,True
