model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,19001,773,19774,26.53146457672119,0.3852674961090088,26.146197080612183,745.3037484161272,49318.980168064314,29.564528930029052,2025-07-31T14:15:53.434207,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,18995,443,19438,15.344587326049805,0.3445279598236084,15.000059366226196,1266.7659016805878,55133.40632709482,29.5332164482928,2025-07-31T14:16:09.058385,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,18989,746,19735,25.672474145889282,0.3968353271484375,25.275638818740845,768.7221686484783,47851.08255469681,29.514585381987327,2025-07-31T14:16:35.044336,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,18993,595,19588,20.516301155090332,0.3347914218902588,20.181509733200073,954.752996260244,56730.84421567322,29.482432576447987,2025-07-31T14:16:55.856245,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,19002,731,19733,25.15602993965149,0.3841085433959961,24.771921396255493,784.4242532442057,49470.39144716424,29.50921683896904,2025-07-31T14:17:21.320525,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,19001,450,19451,15.573378562927246,0.3400454521179199,15.233333110809326,1248.9903794096108,55877.82421924846,29.540481831956217,2025-07-31T14:17:37.233261,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,18992,332,19324,11.51144528388977,0.2718987464904785,11.239546537399292,1678.677135966921,69849.5312874312,29.538558241231428,2025-07-31T14:17:49.084050,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,19005,738,19743,25.232812643051147,0.3653836250305176,24.86742901802063,782.4335827832105,52013.82519102399,29.677374346386795,2025-07-31T14:18:14.624952,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,18991,490,19481,16.83461093902588,0.40915775299072266,16.425453186035156,1157.1993003318705,46414.86043264737,29.831749203522477,2025-07-31T14:18:31.755575,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,18993,295,19288,10.328522443771362,0.3620319366455078,9.966490507125854,1867.4500738129943,52462.22246574188,29.599185369120708,2025-07-31T14:18:42.396931,True,,True
