model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen2.5-VL-72B-Instruct,29700,871,30571,16.16860556602478,0.28690433502197266,15.881701231002808,1890.7629278952222,103518.82622381923,54.84299114629567,2025-07-31T10:26:54.067425,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29694,603,30297,11.321392297744751,0.3121528625488281,11.009239435195923,2676.0842839122565,95126.47027337496,54.77217600266216,2025-07-31T10:27:05.701300,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29688,568,30256,10.645142316818237,0.2966763973236084,10.348465919494629,2842.235368915511,100068.62786464591,54.887362476595804,2025-07-31T10:27:16.679119,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29692,569,30261,10.657203912734985,0.2642502784729004,10.392953634262085,2839.4877538037126,112363.17392583183,54.74863258546615,2025-07-31T10:27:27.641913,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29701,658,30359,12.21585488319397,0.2044072151184082,12.011447668075562,2485.2128885197026,145303.09012230768,54.7810737042842,2025-07-31T10:27:40.152012,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29700,275,29975,5.280349016189575,0.285489559173584,4.994859457015991,5676.70809412342,104031.8254929307,55.05660416805589,2025-07-31T10:27:45.751321,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29691,523,30214,9.775930166244507,0.21500825881958008,9.560921907424927,3090.6521922922984,138092.36986061366,54.70183786292019,2025-07-31T10:27:55.828579,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29704,942,30646,17.468623876571655,0.26842284202575684,17.2002010345459,1754.345403309153,110661.22307560442,54.766801743074495,2025-07-31T10:28:13.591581,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29690,490,30180,9.236089944839478,0.25458693504333496,8.981503009796143,3267.616510909209,116620.28137832864,54.556570260629655,2025-07-31T10:28:23.115351,True,,True
Qwen_Qwen2.5-VL-72B-Instruct,29692,653,30345,12.109298944473267,0.19837450981140137,11.910924434661865,2505.9254164213676,149676.48831610868,54.82362041519725,2025-07-31T10:28:35.515544,True,,True
