model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119436,1024,120460,14.490655422210693,0.526953935623169,13.963701486587524,8312.943513608347,226653.58758305226,73.3329913263741,2025-07-30T14:32:54.780813,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119430,1024,120454,14.579307079315186,0.5178189277648926,14.061488151550293,8261.983875138867,230640.46831101022,72.82301766097943,2025-07-30T14:33:09.663033,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119424,1024,120448,15.0038583278656,0.5073361396789551,14.496522188186646,8027.801740589651,235394.23009677985,70.63763202697454,2025-07-30T14:33:24.967422,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119428,1024,120452,14.731390237808228,0.5077540874481201,14.223636150360107,8176.553472248601,235208.34780518155,71.99284270035794,2025-07-30T14:33:40.006792,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119437,934,120371,13.696964025497437,0.528895378112793,13.168068647384644,8788.15186897802,225823.4897536365,70.92915635623642,2025-07-30T14:33:54.000121,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119436,738,120174,10.852678775787354,0.5270397663116455,10.325639009475708,11073.210815758386,226616.67607331157,71.47257417412585,2025-07-30T14:34:05.139661,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119427,1024,120451,14.60131573677063,0.49631285667419434,14.105002880096436,8249.325072580077,240628.46326465026,72.598354548723,2025-07-30T14:34:20.029349,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119440,1024,120464,14.982377529144287,0.8553287982940674,14.12704873085022,8040.379423470599,139642.20570875224,72.48506177824812,2025-07-30T14:34:35.319789,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119426,1024,120450,14.491196393966675,0.5046629905700684,13.986533403396606,8311.943108448151,236645.05270159824,73.21328098006926,2025-07-30T14:34:50.092507,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,119428,1024,120452,14.489385604858398,0.5168008804321289,13.97258472442627,8313.11991307703,231090.93757761968,73.28636900013835,2025-07-30T14:35:04.870353,True,,True
