model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,first_token_time,generation_time,total_tokens_per_second,response_tokens_per_second,preprocess_speed,generation_speed,latency,timestamp,success,error_message,streaming_used
Qwen_Qwen3-32B-AWQ,113267,618,113885,117.85026216506958,70.51772832870483,70.51772832870483,47.332533836364746,966.3533869825801,5.243942513546424,1606.2202042588165,13.056558563640673,70.51772832870483,2025-07-25T17:35:31.012459,True,,True
Qwen_Qwen3-32B-AWQ,113267,532,113799,117.21587443351746,69.48916482925415,69.48916482925415,47.726709604263306,970.8497296118758,4.538634400596823,1629.9951262663021,11.14679818515035,69.48916482925415,2025-07-25T17:37:28.530647,True,,True
Qwen_Qwen3-32B-AWQ,113267,518,113785,116.75614905357361,69.19552040100098,69.19552040100098,47.56062865257263,974.5525261182579,4.436597165964385,1636.9123224104185,10.891361503733625,69.19552040100098,2025-07-25T17:39:25.601643,True,,True
Qwen_Qwen3-32B-AWQ,113264,489,113753,116.43758130073547,69.1725664138794,69.1725664138794,47.26501488685608,976.9440306922752,4.19967500644838,1637.4121399849307,10.345918670936163,69.1725664138794,2025-07-25T17:41:22.355217,True,,True
Qwen_Qwen3-32B-AWQ,113264,557,113821,116.17817544937134,68.77912330627441,68.77912330627441,47.399052143096924,979.7106862777462,4.794360023692505,1646.7787688370756,11.751289842641295,68.77912330627441,2025-07-25T17:43:18.830654,True,,True
Qwen_Qwen3-32B-AWQ,113264,523,113787,116.06457042694092,68.70703649520874,68.70703649520874,47.35753393173218,980.3766953294797,4.506112399986975,1648.5065544618333,11.043649374858198,68.70703649520874,2025-07-25T17:45:15.193105,True,,True
Qwen_Qwen3-32B-AWQ,113262,530,113792,116.1363365650177,68.70069646835327,68.70069646835327,47.43564009666443,979.8139270244224,4.563601846552867,1648.62957469687,11.173033586559917,68.70069646835327,2025-07-25T17:47:11.636561,True,,True
Qwen_Qwen3-32B-AWQ,113262,608,113870,116.11182498931885,68.67673110961914,68.67673110961914,47.43509387969971,980.6925350667335,5.2363314421759375,1649.2048787123483,12.817514423855695,68.67673110961914,2025-07-25T17:49:08.041593,True,,True
Qwen_Qwen3-32B-AWQ,113262,514,113776,116.37380337715149,68.71827554702759,68.71827554702759,47.6555278301239,977.6770776432187,4.416801591799803,1648.2078326090816,10.78573721462574,68.71827554702759,2025-07-25T17:51:04.727020,True,,True
Qwen_Qwen3-32B-AWQ,113267,588,113855,110.78568315505981,68.71330738067627,68.71330738067627,42.072375774383545,1027.7049954247632,5.307545011723338,1648.3997688030547,13.975916243788957,68.71330738067627,2025-07-25T17:52:55.816104,True,,True
Qwen_Qwen3-32B-AWQ,113267,593,113860,116.1426362991333,68.70218920707703,68.70218920707703,47.440447092056274,980.346267556264,5.105790766387358,1648.666531696669,12.499882196500117,68.70218920707703,2025-07-25T17:54:52.264764,True,,True
Qwen_Qwen3-32B-AWQ,113267,695,113962,115.98814487457275,68.75586199760437,68.75586199760437,47.232282876968384,982.5314485651634,5.991991688043282,1647.3795354925012,14.71451214438121,68.75586199760437,2025-07-25T17:56:48.548982,True,,True
Qwen_Qwen3-32B-AWQ,113265,600,113865,116.00009393692017,68.67109203338623,68.67109203338623,47.329001903533936,981.5940326903424,5.172409604480793,1649.3839932665303,12.677216418442992,68.67109203338623,2025-07-25T17:58:44.862987,True,,True
Qwen_Qwen3-32B-AWQ,113265,596,113861,115.94200706481934,68.68469047546387,68.68469047546387,47.25731658935547,982.0513106724476,5.140500971893614,1649.057442290746,12.61180369547785,68.68469047546387,2025-07-25T18:00:41.111572,True,,True
Qwen_Qwen3-32B-AWQ,113265,584,113849,115.92678546905518,68.6666476726532,68.6666476726532,47.26013779640198,982.0767438633947,5.037662328314017,1649.4907475308175,12.357137055247039,68.6666476726532,2025-07-25T18:02:37.347576,True,,True
Qwen_Qwen3-32B-AWQ,113271,158,113429,83.90388989448547,69.14025855064392,69.14025855064392,14.763631343841553,1351.8920295905739,1.883106971544408,1638.278513480408,10.701974082135798,69.14025855064392,2025-07-25T18:04:01.563868,True,,True
Qwen_Qwen3-32B-AWQ,113271,591,113862,114.43724322319031,69.17873907089233,69.17873907089233,45.258504152297974,994.9732866068051,5.1644026311203195,1637.3672246891233,13.058319338421889,69.17873907089233,2025-07-25T18:05:56.303289,True,,True
Qwen_Qwen3-32B-AWQ,113271,238,113509,90.41256642341614,69.14661598205566,69.14661598205566,21.265950441360474,1255.4560111524727,2.632377438390687,1638.1278879850768,11.191599484644248,69.14661598205566,2025-07-25T18:07:27.000455,True,,True
Qwen_Qwen3-32B-AWQ,113263,620,113883,116.45337128639221,69.04006671905518,69.04006671905518,47.413304567337036,977.9278928724963,5.324019331954267,1640.5401295584093,13.076498372296902,69.04006671905518,2025-07-25T18:09:23.760809,True,,True
Qwen_Qwen3-32B-AWQ,113263,692,113955,116.12127161026001,68.90273690223694,68.90273690223694,47.21853470802307,981.344747777731,5.9592871349408965,1643.8098846596454,14.655262055017133,68.90273690223694,2025-07-25T18:11:20.183011,True,,True
Qwen_Qwen3-32B-AWQ,113263,690,113953,116.53529953956604,69.09752202033997,69.09752202033997,47.437777519226074,977.841052884673,5.92095273042767,1639.1760035426337,14.545369452022697,69.09752202033997,2025-07-25T18:13:17.046609,True,,True
Qwen_Qwen3-32B-AWQ,113277,571,113848,108.46858549118042,68.6504213809967,68.6504213809967,39.818164110183716,1049.5942164679282,5.26419697845537,1650.05542167519,14.340189025790961,68.6504213809967,2025-07-25T18:15:05.810618,True,,True
Qwen_Qwen3-32B-AWQ,113277,896,114173,116.1430389881134,68.58186292648315,68.58186292648315,47.56117606163025,983.03782124803,7.714625067557433,1651.7049138987102,18.83889496001853,68.58186292648315,2025-07-25T18:17:02.262646,True,,True
Qwen_Qwen3-32B-AWQ,113277,406,113683,97.22179079055786,68.7940423488617,68.7940423488617,28.427748441696167,1169.31604607967,4.176018531428147,1646.6106094705212,14.281820483696936,68.7940423488617,2025-07-25T18:18:39.777576,True,,True
Qwen_Qwen3-32B-AWQ,113260,682,113942,116.07497811317444,68.614093542099,68.614093542099,47.46088457107544,981.6241351250159,5.875512630595047,1650.681283583641,14.369727959424466,68.614093542099,2025-07-25T18:20:36.437777,True,,True
Qwen_Qwen3-32B-AWQ,113260,654,113914,116.14679551124573,68.6632616519928,68.6632616519928,47.48353385925293,980.7760902793952,5.63080537109332,1649.499270425539,13.77319560794563,68.6632616519928,2025-07-25T18:22:33.180013,True,,True
Qwen_Qwen3-32B-AWQ,48,0,0,352.8336775302887,,,,0,0,,,352.8336775302887,2025-07-25T18:28:26.878820,False,Error code: 502,True
Qwen_Qwen3-32B-AWQ,113269,964,114233,115.58221936225891,68.67833852767944,68.67833852767944,46.90388083457947,988.3267567476778,8.340383194915317,1649.2682034576183,20.552670330197913,68.67833852767944,2025-07-25T18:30:23.059656,True,,True
Qwen_Qwen3-32B-AWQ,113269,149,113418,80.89043140411377,68.97363185882568,68.97363185882568,11.916799545288086,1402.118866610866,1.8419978409513396,1642.207274684875,12.503357082893514,68.97363185882568,2025-07-25T18:31:44.247326,True,,True
