model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29700,686,30386,19.184145212173462,0.32991600036621094,18.85422921180725,1583.9121140887896,90022.91482387221,36.38440968832606,2025-07-31T13:45:16.796298,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29694,512,30206,54.71269202232361,40.65830683708191,14.0543851852417,552.0839659594066,730.3304615950694,36.429910896254896,2025-07-31T13:46:11.820682,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29688,485,30173,13.727593660354614,0.3758847713470459,13.351708889007568,2197.9817254600007,78981.65146092004,36.32493818070729,2025-07-31T13:46:25.854843,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29692,353,30045,9.978870391845703,0.29476046562194824,9.684109926223755,3010.861833073958,100732.64044195856,36.45146561627783,2025-07-31T13:46:36.110758,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29701,858,30559,23.917298555374146,0.33113598823547363,23.586162567138672,1277.6944657545148,89694.26777882979,36.37726135218813,2025-07-31T13:47:00.326275,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29700,398,30098,11.204397916793823,0.2885324954986572,10.915865421295166,2686.266609193459,102934.67967506009,36.46069135513191,2025-07-31T13:47:11.831900,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29691,586,30277,16.361490964889526,0.2805607318878174,16.08093023300171,1850.5037264007335,105827.35438497498,36.44067796509653,2025-07-31T13:47:28.473636,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29704,634,30338,17.761274814605713,0.4320216178894043,17.32925319671631,1708.0981132644831,68755.81862110451,36.585535037374584,2025-07-31T13:47:46.542338,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29690,584,30274,16.346885681152344,0.3119010925292969,16.034984588623047,1851.9735557278266,95190.43283636853,36.42036553090003,2025-07-31T13:48:03.190676,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29692,214,29906,6.166422605514526,0.27754807472229004,5.888874530792236,4849.8135650410295,106979.66480116757,36.339711243807116,2025-07-31T13:48:09.659544,True,,True
