model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29700,620,30320,10.455641269683838,0.23057150840759277,10.225069761276245,2899.8699570836393,128810.36432089357,60.635283130099104,2025-07-31T14:39:16.824801,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29694,552,30246,9.27001404762268,0.2710268497467041,8.998987197875977,3262.778227154539,109561.10078300869,61.34023616905335,2025-07-31T14:39:26.380905,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29688,485,30173,8.239557266235352,0.3040757179260254,7.935481548309326,3661.968601595268,97633.57693435556,61.11790406762781,2025-07-31T14:39:34.918966,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29692,539,30231,8.987740993499756,0.20931768417358398,8.778423309326172,3363.581574264779,141851.36873278645,61.400547798528684,2025-07-31T14:39:44.207133,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29701,860,30561,14.336727142333984,0.33709168434143066,13.999635457992554,2131.6580623033847,88109.56003861755,61.43017099127507,2025-07-31T14:39:58.823170,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29700,473,30173,8.00391173362732,0.2573211193084717,7.746590614318848,3769.781702268448,115419.98604629184,61.05911923701038,2025-07-31T14:40:07.122729,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29691,587,30278,9.765077114105225,0.21217751502990723,9.552899599075317,3100.641156869592,139934.7145517042,61.44731177294266,2025-07-31T14:40:17.185849,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29704,648,30352,11.46476149559021,0.2409980297088623,11.223763465881348,2647.4166088561506,123254.11969501959,57.7346450653409,2025-07-31T14:40:28.928698,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29690,579,30269,9.59074592590332,0.1846299171447754,9.406116008758545,3156.0631710874004,160808.1748567267,61.55569413144189,2025-07-31T14:40:38.803259,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29692,214,29906,3.768998861312866,0.2649252414703369,3.5040736198425293,7934.733095032763,112076.90077098428,61.071776228724616,2025-07-31T14:40:42.873834,True,,True
