model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29704,1024,30728,10.830297708511353,0.17557001113891602,10.654727697372437,2837.2257925884505,169186.06889246788,96.10757112568243,2025-07-30T14:54:56.279934,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29698,1024,30722,10.852975606918335,0.30999755859375,10.542978048324585,2830.7444071297796,95800.7544792282,97.12625742996086,2025-07-30T14:55:07.454965,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29692,1024,30716,10.79448676109314,0.17531037330627441,10.619176387786865,2845.5266729966734,169368.18649131994,96.42932395187486,2025-07-30T14:55:18.586274,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29696,819,30515,8.667377710342407,0.18508672714233398,8.482290983200073,3520.6726901479983,160443.70365446794,96.55410332209799,2025-07-30T14:55:27.566622,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29705,1024,30729,10.805487394332886,0.1682441234588623,10.637243270874023,2843.8328488649504,176558.91563584525,96.26554304758902,2025-07-30T14:55:38.682633,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29704,749,30453,7.978569507598877,0.20677566528320312,7.771793842315674,3816.8496208494807,143653.26770593118,96.37414671524907,2025-07-30T14:55:46.981735,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29695,1024,30719,10.776640176773071,0.1792888641357422,10.597351312637329,2850.5173686886906,165626.57219757658,96.62791859876167,2025-07-30T14:55:58.058089,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29708,1024,30732,10.819902420043945,0.17983293533325195,10.640069484710693,2840.3213639957376,165197.7706138618,96.23997300689084,2025-07-30T14:56:09.197295,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29694,1024,30718,10.832399129867554,0.23006439208984375,10.60233473777771,2835.7522310365225,129068.21316531255,96.5825004893813,2025-07-30T14:56:20.337185,True,,True
Qwen_Qwen3-30B-A3B-GPTQ-Int4,29696,1024,30720,10.756019115447998,0.14752411842346191,10.608494997024536,2856.0752514728574,201295.89871371983,96.52641588530804,2025-07-30T14:56:31.404368,True,,True
