model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29700,501,30201,11.849242210388184,0.26667189598083496,11.582570314407349,2548.7705849681174,111372.81598708274,43.25464783726072,2025-07-31T14:48:12.971491,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29694,552,30246,13.01331353187561,0.24402236938476562,12.769291162490845,2324.235093999202,121685.5654457628,43.22871120845552,2025-07-31T14:48:26.276007,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29688,485,30173,11.711584091186523,0.27416205406188965,11.437422037124634,2576.3380739166187,108286.32029908194,42.404660632941805,2025-07-31T14:48:38.284293,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29692,539,30231,12.890498638153076,0.29949951171875,12.590999126434326,2345.2157165218423,99138.72590177298,42.80835814438188,2025-07-31T14:48:51.450742,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29701,858,30559,20.34135627746582,0.40059447288513184,19.94076180458069,1502.3088717959922,74142.31101614972,43.02744340504106,2025-07-31T14:49:12.097954,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29700,454,30154,10.941563129425049,0.2592043876647949,10.682358741760254,2755.913359299378,114581.3937316843,42.49997692224941,2025-07-31T14:49:23.338439,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29691,586,30277,13.846606969833374,0.2407078742980957,13.605899095535278,2186.6006644055374,123348.68598120843,43.06955357270682,2025-07-31T14:49:37.487742,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29704,634,30338,14.901561737060547,0.2892310619354248,14.612330675125122,2035.8939912015164,102699.89606659836,43.388013459021394,2025-07-31T14:49:52.698571,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29690,582,30272,13.68560004234314,0.24408197402954102,13.441518068313599,2211.960009523782,121639.46198012414,43.29868077713479,2025-07-31T14:50:06.685175,True,,True
Qwen_Qwen2.5-VL-72B-Instruct-AWQ,29692,165,29857,4.203958511352539,0.3853592872619629,3.818599224090576,7102.115760508329,77050.17364695226,43.20956201924956,2025-07-31T14:50:11.195087,True,,True
