model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,first_token_time,generation_time,total_tokens_per_second,response_tokens_per_second,preprocess_speed,generation_speed,latency,timestamp,success,error_message,streaming_used
Qwen_Qwen3-30B-A3B-FP8,21846,632,22478,93.85949277877808,4.442716360092163,4.442716360092163,89.41677641868591,239.4856325612101,6.73346916000911,4917.261924762356,7.068024875340144,4.442716360092163,2025-07-29T09:49:45.853300,True,,True
Qwen_Qwen3-30B-A3B-FP8,21843,454,22297,92.59786486625671,3.4477665424346924,3.4477665424346924,89.15009832382202,240.79388906217832,4.902920824964299,6335.405756497433,5.092535045232648,3.4477665424346924,2025-07-29T09:51:18.770143,True,,True
Qwen_Qwen3-30B-A3B-FP8,21841,469,22310,76.66845965385437,3.4314558506011963,3.4314558506011963,73.23700380325317,290.9931946034396,6.117248241551464,6364.936910429264,6.40386656532182,3.4314558506011963,2025-07-29T09:52:35.740798,True,,True
Qwen_Qwen3-30B-A3B-FP8,21846,694,22540,92.52324271202087,3.4277729988098145,3.4277729988098145,89.09546971321106,243.61446204556276,7.500817952955659,6373.2341691195215,7.7893971739967585,3.4277729988098145,2025-07-29T09:54:08.581348,True,,True
Qwen_Qwen3-30B-A3B-FP8,21844,532,22376,77.45765662193298,3.4698171615600586,3.4698171615600586,73.98783946037292,288.8804151307618,6.8682687186970535,6295.432578406741,7.190370794445665,3.4698171615600586,2025-07-29T09:55:26.350490,True,,True
Qwen_Qwen3-30B-A3B-FP8,21850,476,22326,73.46551179885864,3.4649951457977295,3.4649951457977295,70.00051665306091,303.8976991152855,6.479230707644715,6305.925140039288,6.799949811215942,3.4649951457977295,2025-07-29T09:56:40.120587,True,,True
Qwen_Qwen3-30B-A3B-FP8,21842,579,22421,91.264399766922,3.459622621536255,3.459622621536255,87.80477714538574,245.67082079387433,6.344204328069811,6313.405359310837,6.5941742445436775,3.459622621536255,2025-07-29T09:58:11.709510,True,,True
Qwen_Qwen3-30B-A3B-FP8,21856,1025,22881,92.17580151557922,3.5231168270111084,3.5231168270111084,88.65268468856812,248.23217833514292,11.120055189612408,6203.597857565763,11.561973600695424,3.5231168270111084,2025-07-29T09:59:44.208573,True,,True
Qwen_Qwen3-30B-A3B-FP8,21839,515,22354,77.4189441204071,3.4933853149414062,3.4933853149414062,73.9255588054657,288.7406984682401,6.652118623563732,6251.529113205281,6.966467461615229,3.4933853149414062,2025-07-29T10:01:01.949498,True,,True
Qwen_Qwen3-30B-A3B-FP8,21848,739,22587,86.02123284339905,3.4772448539733887,3.4772448539733887,82.54398798942566,262.5747068880011,8.590902217657627,6283.135331995577,8.952802233091402,3.4772448539733887,2025-07-29T10:02:28.269515,True,,True
